latitude,longitude,name
32.2940728,-105.9231658,fiftymilemex
32.2907730,-105.9225879,fiftymilemex
32.2857733,-105.9181212,fiftymilemex
32.2806736,-105.9084553,fiftymilemex
32.2709741,-105.9050200,fiftymilemex
32.2711741,-105.9015186,fiftymilemex
32.2579748,-105.8825067,fiftymilemex
32.2606747,-105.8680887,fiftymilemex
32.2701742,-105.8611253,fiftymilemex
32.2741739,-105.8504986,fiftymilemex
32.2744739,-105.8454966,fiftymilemex
32.2646745,-105.8284620,fiftymilemex
32.2616746,-105.8118820,fiftymilemex
32.2426757,-105.7766086,fiftymilemex
32.2376760,-105.7729419,fiftymilemex
32.2224768,-105.7672431,fiftymilemex
32.2061777,-105.7446515,fiftymilemex
32.1745795,-105.7304614,fiftymilemex
32.1320818,-105.6989432,fiftymilemex
32.1210825,-105.6986160,fiftymilemex
32.0987837,-105.6854636,fiftymilemex
32.0728851,-105.6772348,fiftymilemex
32.0527863,-105.6433674,fiftymilemex
32.0236879,-105.6337593,fiftymilemex
32.0118885,-105.6217370,fiftymilemex
31.9917896,-105.6162693,fiftymilemex
31.9778904,-105.6048607,fiftymilemex
31.9731907,-105.5981916,fiftymilemex
31.9661911,-105.5729376,fiftymilemex
31.9606914,-105.5656737,fiftymilemex
31.9487920,-105.5555518,fiftymilemex
31.9357927,-105.5301371,fiftymilemex
31.9328929,-105.5053561,fiftymilemex
31.9087942,-105.4774141,fiftymilemex
31.9029946,-105.4020521,fiftymilemex
31.8761960,-105.3679275,fiftymilemex
31.8747961,-105.3515366,fiftymilemex
31.8502975,-105.3455968,fiftymilemex
31.8631968,-105.3434125,fiftymilemex
31.8285987,-105.3359384,fiftymilemex
31.8229990,-105.3302750,fiftymilemex
31.8226990,-105.3057769,fiftymilemex
31.8008002,-105.2921197,fiftymilemex
31.8015002,-105.2728151,fiftymilemex
31.7989003,-105.2673321,fiftymilemex
31.7829012,-105.2522363,fiftymilemex
31.7755016,-105.2488844,fiftymilemex
31.7612024,-105.2374774,fiftymilemex
31.7421034,-105.2184016,fiftymilemex
31.7151049,-105.1954769,fiftymilemex
31.7066054,-105.1808320,fiftymilemex
31.6933061,-105.1790182,fiftymilemex
31.7013057,-105.1783664,fiftymilemex
31.6765071,-105.1713271,fiftymilemex
31.6742072,-105.1621419,fiftymilemex
31.6749071,-105.1418374,fiftymilemex
31.6601080,-105.1192332,fiftymilemex
31.6576081,-105.1171494,fiftymilemex
31.6515084,-105.1159888,fiftymilemex
31.6473087,-105.1099160,fiftymilemex
31.6258099,-105.0475549,fiftymilemex
31.6088108,-105.0414647,fiftymilemex
31.6085108,-105.0261666,fiftymilemex
31.5936116,-105.0033627,fiftymilemex
31.5856121,-104.9981143,fiftymilemex
31.5750126,-104.9949826,fiftymilemex
31.5705129,-104.9878116,fiftymilemex
31.5662131,-104.9844393,fiftymilemex
31.5377147,-104.9808227,fiftymilemex
31.5460142,-104.9794693,fiftymilemex
31.5315150,-104.9785626,fiftymilemex
31.5190157,-104.9701429,fiftymilemex
31.5277152,-104.9699870,fiftymilemex
31.5254154,-104.9685018,fiftymilemex
31.5003167,-104.9574630,fiftymilemex
31.4951170,-104.9430964,fiftymilemex
31.4962170,-104.9379893,fiftymilemex
31.4949170,-104.9328977,fiftymilemex
31.4890174,-104.9276355,fiftymilemex
31.4865175,-104.9221516,fiftymilemex
31.4813178,-104.9178849,fiftymilemex
31.4758181,-104.9163202,fiftymilemex
31.4781180,-104.9027054,fiftymilemex
31.4611189,-104.8994144,fiftymilemex
31.4690185,-104.8955638,fiftymilemex
31.4594190,-104.8940253,fiftymilemex
31.4538193,-104.8920611,fiftymilemex
31.4526194,-104.8916688,fiftymilemex
31.4560192,-104.8900470,fiftymilemex
31.4512194,-104.8896778,fiftymilemex
31.4536193,-104.8886624,fiftymilemex
31.4525194,-104.8865695,fiftymilemex
31.4512194,-104.8825778,fiftymilemex
31.4489196,-104.8788925,fiftymilemex
31.4446198,-104.8766200,fiftymilemex
31.4416200,-104.8714392,fiftymilemex
31.4440198,-104.8713239,fiftymilemex
31.4397201,-104.8680514,fiftymilemex
31.4351203,-104.8674808,fiftymilemex
31.4295206,-104.8551166,fiftymilemex
31.4315205,-104.8542039,fiftymilemex
31.4265208,-104.8535358,fiftymilemex
31.4308206,-104.8523083,fiftymilemex
31.4347203,-104.8521834,fiftymilemex
31.4297206,-104.8474154,fiftymilemex
31.4238209,-104.8453531,fiftymilemex
31.4187212,-104.8419857,fiftymilemex
