longitude,latitude
-106.5285000,31.7838000
-106.5279000,31.7805000
-106.5234000,31.7755000
-106.5137000,31.7704000
-106.5102000,31.7607000
-106.5067000,31.7609000
-106.4876000,31.7477000
-106.4732000,31.7504000
-106.4663000,31.7599000
-106.4557000,31.7639000
-106.4507000,31.7642000
-106.4336000,31.7544000
-106.4170000,31.7514000
-106.3816000,31.7324000
-106.3779000,31.7274000
-106.3721000,31.7122000
-106.3494000,31.6959000
-106.3350000,31.6643000
-106.3032000,31.6218000
-106.3028000,31.6108000
-106.2895000,31.5885000
-106.2811000,31.5626000
-106.2471000,31.5425000
-106.2373000,31.5134000
-106.2252000,31.5016000
-106.2196000,31.4815000
-106.2081000,31.4676000
-106.2014000,31.4629000
-106.1761000,31.4559000
-106.1688000,31.4504000
-106.1586000,31.4385000
-106.1331000,31.4255000
-106.1083000,31.4226000
-106.0802000,31.3985000
-106.0048000,31.3927000
-105.9705000,31.3659000
-105.9541000,31.3645000
-105.9459000,31.3529000
-105.9480000,31.3400000
-105.9382000,31.3183000
-105.9325000,31.3127000
-105.9080000,31.3124000
-105.8942000,31.2905000
-105.8749000,31.2912000
-105.8694000,31.2886000
-105.8542000,31.2726000
-105.8508000,31.2652000
-105.8393000,31.2509000
-105.8201000,31.2318000
-105.7970000,31.2048000
-105.7823000,31.1963000
-105.7798000,31.1910000
-105.7804000,31.1830000
-105.7726000,31.1662000
-105.7634000,31.1639000
-105.7431000,31.1646000
-105.7204000,31.1498000
-105.7183000,31.1473000
-105.7171000,31.1412000
-105.7110000,31.1370000
-105.6485000,31.1155000
-105.6423000,31.0985000
-105.6270000,31.0982000
-105.6041000,31.0833000
-105.5988000,31.0753000
-105.5956000,31.0647000
-105.5884000,31.0602000
-105.5850000,31.0559000
-105.5799000,31.0357000
-105.5812000,31.0274000
-105.5789000,31.0212000
-105.5703000,31.0174000
-105.5688000,31.0151000
-105.5704000,31.0087000
-105.5576000,30.9900000
-105.5432000,30.9848000
-105.5381000,30.9859000
-105.5330000,30.9846000
-105.5277000,30.9787000
-105.5222000,30.9762000
-105.5179000,30.9710000
-105.5163000,30.9655000
-105.5027000,30.9678000
-105.4955000,30.9587000
-105.4993000,30.9508000
-105.4939000,30.9491000
-105.4899000,30.9457000
-105.4885000,30.9433000
-105.4919000,30.9435000
-105.4915000,30.9423000
-105.4895000,30.9409000
-105.4864000,30.9422000
-105.4824000,30.9409000
-105.4787000,30.9386000
-105.4764000,30.9343000
-105.4711000,30.9337000
-105.4712000,30.9313000
-105.4678000,30.9294000
-105.4672000,30.9248000
-105.4519000,30.9244000
-105.4520000,30.9205000
-105.4539000,30.9212000
-105.4548000,30.9192000
-105.4532000,30.9162000
-105.4471000,30.9194000
-105.4450000,30.9176000
-105.4450000,30.9135000
-105.4416000,30.9084000
